test/success_rate,train/episode,train/success_rate,test/episode,stats_o/std,stats_g/std,epoch,stats_o/mean,test/mean_Q,stats_g/mean
0.2,6300.0,0.485,1260.0,0.07468021,0.076602794,62,0.20091768,-8.3635435,0.8380601
0.3,6400.0,0.52,1280.0,0.0751545,0.07667693,63,0.20083767,-11.387803,0.8379979
0.15,6500.0,0.515,1300.0,0.07584286,0.07656514,64,0.2008226,-7.862578,0.83796
0.5,6600.0,0.525,1320.0,0.076324075,0.07648942,65,0.20077686,-7.7194095,0.83780164
0.35,6700.0,0.455,1340.0,0.076806284,0.07645484,66,0.20075369,-8.243114,0.8377287
0.55,6800.0,0.47,1360.0,0.07739383,0.076488204,67,0.20074202,-7.353163,0.8376818
0.65,6900.0,0.565,1380.0,0.07764887,0.07630474,68,0.20075932,-6.5598564,0.8376133
0.7,7000.0,0.5900000000000001,1400.0,0.0781294,0.07623291,69,0.20072615,-6.3001847,0.8375244
0.45,7100.0,0.62,1420.0,0.07882805,0.07624104,70,0.20073427,-5.715101,0.83746505
0.55,7200.0,0.6299999999999999,1440.0,0.07922887,0.07612831,71,0.20073168,-5.7259617,0.8374722
0.65,7300.0,0.6699999999999999,1460.0,0.07956272,0.076019116,72,0.20073959,-5.5109015,0.83743525
0.65,7400.0,0.565,1480.0,0.080125734,0.075889654,73,0.20076817,-7.676449,0.8373616
0.55,7500.0,0.55,1500.0,0.080627166,0.07579157,74,0.20076174,-6.6922636,0.8373484
0.6,7600.0,0.615,1520.0,0.081215456,0.07576424,75,0.20077476,-7.6954117,0.8373117
0.45,7700.0,0.535,1540.0,0.08184536,0.07567435,76,0.20078517,-7.1628203,0.83727616
0.45,7800.0,0.5449999999999999,1560.0,0.08262586,0.07567421,77,0.20079447,-6.4718695,0.83724594
0.8,7900.0,0.52,1580.0,0.08338498,0.07559338,78,0.20082822,-7.14417,0.837231
0.85,8000.0,0.5549999999999999,1600.0,0.08426684,0.07566254,79,0.20086506,-5.619702,0.8371847
0.45,8100.0,0.5549999999999999,1620.0,0.08504374,0.07590279,80,0.20089206,-6.201286,0.83714384
0.65,8200.0,0.51,1640.0,0.08571048,0.07592571,81,0.20090955,-7.316393,0.8371603
0.95,8300.0,0.6100000000000001,1660.0,0.08654717,0.07605413,82,0.2008996,-5.6018934,0.8370703
