stats_g/std,stats_g/mean,epoch,stats_o/std,train/episode,test/episode,train/success_rate,test/success_rate,stats_o/mean,test/mean_Q
0.15064572,0.75392014,64,0.08011515,1300.0,1300.0,0.05,0.05,0.17363758,-15.944456
0.15111506,0.75419337,65,0.08053092,1320.0,1320.0,0.05,0.125,0.17369945,-16.497833
0.15130474,0.75478595,66,0.08097959,1340.0,1340.0,0.05,0.05,0.1737462,-18.785072
0.15216441,0.75536203,67,0.081336394,1360.0,1360.0,0.025,0.025,0.17390938,-18.880775
0.15222074,0.7552789,68,0.08141006,1380.0,1380.0,0.0,0.0,0.17399003,-19.29824
0.1527348,0.7554057,69,0.08186498,1400.0,1400.0,0.025,0.15000000000000002,0.17406525,-18.251564
0.15322061,0.7552512,70,0.08199307,1420.0,1420.0,0.07500000000000001,0.05,0.17413001,-19.319307
0.15381695,0.7552945,71,0.08236728,1440.0,1440.0,0.0,0.025,0.17416577,-21.29493
0.15448835,0.75545615,72,0.082997836,1460.0,1460.0,0.05,0.0,0.17418362,-20.8439
0.15540649,0.7561596,73,0.08355656,1480.0,1480.0,0.025,0.025,0.17436832,-17.018215
0.15600897,0.7566083,74,0.08392068,1500.0,1500.0,0.0,0.07500000000000001,0.17440376,-18.618551
0.15690467,0.7568783,75,0.08439736,1520.0,1520.0,0.05,0.0,0.17449766,-19.842636
0.15802476,0.75773597,76,0.0853859,1540.0,1540.0,0.05,0.0,0.174698,-16.763813
0.15873627,0.7583184,77,0.08587646,1560.0,1560.0,0.05,0.05,0.17483921,-19.155018
0.1596389,0.75893754,78,0.08632976,1580.0,1580.0,0.05,0.07500000000000001,0.17501444,-19.46341
0.1601368,0.7589398,79,0.08647923,1600.0,1600.0,0.07500000000000001,0.07500000000000001,0.17509878,-19.655323
0.16045712,0.7593128,80,0.08731106,1620.0,1620.0,0.0,0.1,0.17526782,-17.179752
0.16122201,0.7599142,81,0.08770483,1640.0,1640.0,0.05,0.07500000000000001,0.17544022,-18.953915
0.16212651,0.76032144,82,0.088018835,1660.0,1660.0,0.07500000000000001,0.07500000000000001,0.1755269,-19.678282
0.1626907,0.76071566,83,0.08813848,1680.0,1680.0,0.05,0.07500000000000001,0.1756609,-18.543467
0.16358769,0.7607887,84,0.089188375,1700.0,1700.0,0.025,0.025,0.17569324,-20.526981
