stats_o/mean,test/episode,train/success_rate,stats_g/std,test/mean_Q,test/success_rate,epoch,stats_g/mean,train/episode,stats_o/std
0.20425437,520.0,0.125,0.100544006,-19.94985,0.15000000000000002,25,0.8452935,2600.0,0.08139606
0.20420481,540.0,0.16,0.100898005,-19.998646,0.0,26,0.8451326,2700.0,0.08285644
0.20435303,560.0,0.185,0.10105118,-19.254833,0.175,27,0.8450487,2800.0,0.08416159
0.20439707,580.0,0.165,0.10135933,-17.628296,0.2,28,0.8450658,2900.0,0.08571358
0.20439234,600.0,0.22999999999999998,0.101430915,-19.756197,0.3,29,0.845066,3000.0,0.086549625
0.20433635,620.0,0.19,0.1017404,-18.027378,0.125,30,0.845,3100.0,0.08823698
0.20439692,640.0,0.245,0.10190504,-16.287985,0.175,31,0.8450139,3200.0,0.08965685
0.20439692,660.0,0.215,0.10232818,-20.16249,0.2,32,0.8449049,3300.0,0.0903949
0.20434858,680.0,0.2,0.10241795,-19.278263,0.125,33,0.84483767,3400.0,0.091636084
0.20440084,700.0,0.235,0.10268528,-15.239553,0.25,34,0.84473354,3500.0,0.09252431
0.20445265,720.0,0.265,0.10276458,-18.610474,0.2,35,0.84463423,3600.0,0.093529254
0.20440626,740.0,0.26,0.1027807,-16.907312,0.325,36,0.8446782,3700.0,0.09442085
0.20446967,760.0,0.22,0.10284444,-17.321424,0.3,37,0.8445025,3800.0,0.095349245
0.2044561,780.0,0.27,0.10308507,-14.227933,0.325,38,0.84445643,3900.0,0.096121915
0.2042991,800.0,0.305,0.10318234,-20.839905,0.525,39,0.844279,4000.0,0.096967876
0.20422134,820.0,0.32999999999999996,0.10335431,-12.489412,0.35,40,0.84432787,4100.0,0.09802191
0.2041741,840.0,0.32,0.103381746,-22.197567,0.475,41,0.84437126,4200.0,0.09886704
0.20407198,860.0,0.305,0.10355568,-13.948697,0.325,42,0.84416485,4300.0,0.09964366
0.20394707,880.0,0.39,0.10381895,-20.795008,0.525,43,0.8440233,4400.0,0.10046631
0.20383112,900.0,0.29000000000000004,0.1040166,-18.90481,0.375,44,0.84397036,4500.0,0.10139182
0.2037806,920.0,0.32,0.10446199,-17.795479,0.525,45,0.84371454,4600.0,0.1022505
0.20369446,940.0,0.36,0.104773045,-17.81215,0.47500000000000003,46,0.8436493,4700.0,0.10322943
0.203624,960.0,0.43999999999999995,0.10455557,-17.074606,0.425,47,0.84357864,4800.0,0.1038367
0.20356598,980.0,0.37,0.104544915,-14.813221,0.5,48,0.84352046,4900.0,0.10437441
0.2035367,1000.0,0.365,0.10453241,-11.139744,0.425,49,0.8435664,5000.0,0.104942605
0.20348258,1020.0,0.395,0.104837336,-15.862027,0.32499999999999996,50,0.84348744,5100.0,0.105671026
0.20344044,1040.0,0.44,0.1046816,-14.999077,0.45,51,0.84344244,5200.0,0.105925776
0.2034199,1060.0,0.39,0.10460499,-19.108974,0.4,52,0.84343106,5300.0,0.106343366
0.203362,1080.0,0.485,0.10440385,-13.393065,0.6499999999999999,53,0.84344107,5400.0,0.10666755
0.20335545,1100.0,0.425,0.10425255,-14.2789345,0.55,54,0.84348124,5500.0,0.10703275
0.20326705,1120.0,0.455,0.10411907,-13.976419,0.6499999999999999,55,0.84347796,5600.0,0.10755392
0.20314161,1140.0,0.4,0.10407529,-13.90196,0.6499999999999999,56,0.8434723,5700.0,0.10803831
0.2031019,1160.0,0.43999999999999995,0.10401078,-14.130604,0.525,57,0.8435316,5800.0,0.10841137
0.2031068,1180.0,0.42500000000000004,0.10406042,-15.055859,0.6,58,0.8435238,5900.0,0.1089073
0.20309666,1200.0,0.49,0.10408618,-13.183783,0.525,59,0.84346575,6000.0,0.10938736
0.2030901,1220.0,0.46499999999999997,0.10404152,-14.388101,0.625,60,0.84349555,6100.0,0.10978669
0.20304236,1240.0,0.435,0.10391813,-17.88729,0.6499999999999999,61,0.84350985,6200.0,0.110200666
0.20300809,1260.0,0.495,0.103832275,-13.232819,0.7250000000000001,62,0.8435436,6300.0,0.11039359
0.20297495,1280.0,0.5,0.10380133,-13.125314,0.825,63,0.8435709,6400.0,0.110615596
0.20300384,1300.0,0.46499999999999997,0.10362708,-12.569977,0.625,64,0.8436287,6500.0,0.110839866
0.20299456,1320.0,0.475,0.10375589,-15.480289,0.6000000000000001,65,0.84356064,6600.0,0.11105511
0.20302135,1340.0,0.46499999999999997,0.10372379,-9.733424,0.7,66,0.84360313,6700.0,0.111077145
0.20308737,1360.0,0.49,0.103675954,-12.702152,0.7,67,0.84368366,6800.0,0.1111955
0.20310968,1380.0,0.41000000000000003,0.10371385,-15.342147,0.625,68,0.8437324,6900.0,0.11139267
0.20311671,1400.0,0.525,0.103660904,-10.037111,0.7,69,0.84372073,7000.0,0.11142744
0.20314196,1420.0,0.56,0.10360118,-9.877504,0.6,70,0.8437423,7100.0,0.11153452
0.2031137,1440.0,0.48,0.103507005,-11.390271,0.825,71,0.84371895,7200.0,0.111719705
0.20317426,1460.0,0.475,0.103548355,-11.471305,0.7,72,0.84374326,7300.0,0.11190143
0.20319492,1480.0,0.48,0.10345849,-6.224307,0.625,73,0.84374696,7400.0,0.112089984
0.20322937,1500.0,0.485,0.10345832,-8.031204,0.725,74,0.84367186,7500.0,0.11228895
0.20319271,1520.0,0.525,0.10346504,-8.824839,0.75,75,0.8436878,7600.0,0.11234266
0.20321219,1540.0,0.49,0.103492774,-8.689756,0.7749999999999999,76,0.84370965,7700.0,0.11241357
0.20328134,1560.0,0.505,0.10353323,-6.7501993,0.7749999999999999,77,0.84370977,7800.0,0.112501256
0.20328438,1580.0,0.48,0.10368991,-13.122206,0.7,78,0.8438013,7900.0,0.11276837
0.20328604,1600.0,0.565,0.103725165,-8.772308,0.7,79,0.84381527,8000.0,0.112864554
0.20327426,1620.0,0.485,0.10367751,-5.92957,0.825,80,0.8438837,8100.0,0.11311844
0.20332675,1640.0,0.45999999999999996,0.10382632,-9.664272,0.75,81,0.8439892,8200.0,0.11337386
0.20332035,1660.0,0.52,0.103966855,-9.895764,0.75,82,0.8441132,8300.0,0.11358875
0.20332839,1680.0,0.54,0.1040447,-7.263317,0.675,83,0.8441836,8400.0,0.11370366
0.20335114,1700.0,0.505,0.1041409,-3.6047964,0.675,84,0.8442357,8500.0,0.11387606
0.20337711,1720.0,0.5549999999999999,0.104234196,-4.673092,0.8,85,0.84433746,8600.0,0.11395401
0.20339787,1740.0,0.55,0.104327984,-5.507908,0.8,86,0.84439,8700.0,0.11410856
0.20337218,1760.0,0.5700000000000001,0.1044902,-4.1044254,0.85,87,0.84450954,8800.0,0.11422322
0.20334859,1780.0,0.61,0.10450823,-5.1114807,0.825,88,0.84458965,8900.0,0.11428607
0.20336232,1800.0,0.49,0.10455236,-6.7025747,0.825,89,0.8446854,9000.0,0.11440503
0.20341736,1820.0,0.495,0.10469977,-6.0512366,0.675,90,0.8447272,9100.0,0.114481136
0.20342264,1840.0,0.57,0.104715355,-7.0518503,0.675,91,0.84484345,9200.0,0.11452893
0.20341745,1860.0,0.55,0.10471815,-7.193622,0.75,92,0.8449392,9300.0,0.11457028
0.20346838,1880.0,0.505,0.104733266,-7.611752,0.875,93,0.8450133,9400.0,0.11451442
0.20345883,1900.0,0.565,0.10473796,-5.7339125,0.75,94,0.84508085,9500.0,0.11453469
0.20349021,1920.0,0.535,0.10480413,-5.518588,0.8,95,0.845233,9600.0,0.11465699
0.20351492,1940.0,0.585,0.10479022,-5.986015,0.8,96,0.8453269,9700.0,0.1148184
0.20356731,1960.0,0.49,0.10492007,-4.661681,0.8500000000000001,97,0.8454053,9800.0,0.11482798
0.20360471,1980.0,0.5449999999999999,0.104880236,-5.207486,0.875,98,0.8455705,9900.0,0.11476976
0.20364538,2000.0,0.5700000000000001,0.10489368,-4.668517,0.85,99,0.8456909,10000.0,0.11488506
0.2036487,2020.0,0.5800000000000001,0.10499177,-5.762885,0.95,100,0.84574634,10100.0,0.11493849
0.20362334,2040.0,0.47,0.10515228,-4.1749377,0.8,101,0.84586936,10200.0,0.11497098
0.20360556,2060.0,0.575,0.10510069,-6.585433,0.825,102,0.8459657,10300.0,0.11500406
0.2035977,2080.0,0.535,0.10517687,-3.747549,0.825,103,0.8460619,10400.0,0.11508498
0.20364755,2100.0,0.595,0.105203815,-2.3535032,0.875,104,0.84616655,10500.0,0.11513713
0.20365901,2120.0,0.585,0.10526081,-3.7747376,0.85,105,0.8462594,10600.0,0.11518776
0.2036385,2140.0,0.6,0.105228506,-4.822336,0.85,106,0.84637374,10700.0,0.11514218
0.20363075,2160.0,0.585,0.10520935,-3.6411114,0.8500000000000001,107,0.8464257,10800.0,0.11516043
0.2036472,2180.0,0.615,0.10523611,-5.6261606,0.85,108,0.84646106,10900.0,0.115197465
0.20365362,2200.0,0.54,0.10518396,-3.306252,0.85,109,0.8465329,11000.0,0.11521233
0.20373404,2220.0,0.52,0.1052998,-3.798373,0.925,110,0.8466525,11100.0,0.11519951
0.20377894,2240.0,0.565,0.10540599,-4.151699,0.95,111,0.84672874,11200.0,0.115302175
0.20377307,2260.0,0.585,0.105420716,-2.0359764,0.925,112,0.84680194,11300.0,0.11526807
0.20382625,2280.0,0.49,0.10549768,-2.4268723,0.975,113,0.8469537,11400.0,0.1153205
0.20384406,2300.0,0.5449999999999999,0.105608165,-3.7998092,0.875,114,0.84700125,11500.0,0.11537779
0.20383672,2320.0,0.54,0.105696954,-2.6655514,0.95,115,0.84703916,11600.0,0.11542439
0.20384827,2340.0,0.5549999999999999,0.10583303,-4.085395,0.95,116,0.8470735,11700.0,0.11552351
0.20386517,2360.0,0.585,0.10589195,-2.5659642,0.875,117,0.8471295,11800.0,0.11559226
0.20385012,2380.0,0.545,0.106036715,-2.4054155,0.875,118,0.8472263,11900.0,0.11566864
0.2038705,2400.0,0.54,0.106084764,-2.516515,0.8999999999999999,119,0.8473067,12000.0,0.115694225
0.20389251,2420.0,0.585,0.10610997,-1.46819,0.875,120,0.8473471,12100.0,0.1157577
0.20388162,2440.0,0.515,0.10612112,-1.2582526,0.875,121,0.8473973,12200.0,0.115759656
0.20388904,2460.0,0.565,0.10618957,-2.2906928,0.875,122,0.84744406,12300.0,0.115776844
0.20389877,2480.0,0.585,0.10620311,-1.0285546,0.925,123,0.847442,12400.0,0.1157499
0.20393154,2500.0,0.51,0.10632948,-1.6774786,0.8999999999999999,124,0.8475127,12500.0,0.11580183
0.20392764,2520.0,0.565,0.106329285,-2.9378557,0.8500000000000001,125,0.8475626,12600.0,0.11584159
0.20392956,2540.0,0.575,0.10632062,-1.6540493,0.975,126,0.8476444,12700.0,0.11583683
0.20394515,2560.0,0.605,0.10637935,-1.5409424,0.975,127,0.8476541,12800.0,0.115890905
0.20394564,2580.0,0.54,0.10633817,-1.6768088,0.875,128,0.8477141,12900.0,0.11591553
0.20395002,2600.0,0.53,0.10636289,-1.1895068,0.95,129,0.8477836,13000.0,0.11595149
0.20396103,2620.0,0.5449999999999999,0.10640222,-0.93875927,0.975,130,0.8478945,13100.0,0.11588164
0.2039526,2640.0,0.5700000000000001,0.1063646,-1.2193441,0.95,131,0.84793276,13200.0,0.11586198
0.20398971,2660.0,0.5549999999999999,0.106389046,-1.1250149,0.925,132,0.8480186,13300.0,0.11591115
0.20399776,2680.0,0.5549999999999999,0.10635712,-0.97531575,0.9,133,0.84805655,13400.0,0.11592212
0.20401722,2700.0,0.545,0.10636296,-1.3149273,0.925,134,0.84810036,13500.0,0.11593494
0.2040331,2720.0,0.62,0.106344186,-1.0884082,1.0,135,0.84811753,13600.0,0.11594525
0.204031,2740.0,0.52,0.10636585,-0.8359499,1.0,136,0.84817296,13700.0,0.115962155
0.20403485,2760.0,0.52,0.10639956,-1.4909554,0.975,137,0.848228,13800.0,0.1159723
0.2040384,2780.0,0.56,0.106431365,-1.2667929,0.95,138,0.84824824,13900.0,0.11598888
0.20403004,2800.0,0.52,0.10639697,-1.0448447,0.9,139,0.8482828,14000.0,0.11596941
0.20404834,2820.0,0.535,0.10640955,-1.0254618,0.95,140,0.84833664,14100.0,0.11594863
0.20407818,2840.0,0.5900000000000001,0.106381245,-1.1182084,0.95,141,0.8483936,14200.0,0.11589902
0.2040695,2860.0,0.5800000000000001,0.10647126,-1.0925713,0.875,142,0.84842604,14300.0,0.115951255
0.20410605,2880.0,0.55,0.10646781,-0.9721953,0.95,143,0.84846634,14400.0,0.11592995
0.20412113,2900.0,0.6,0.10640713,-1.295252,0.925,144,0.8485034,14500.0,0.11586942
0.20414364,2920.0,0.495,0.10642401,-1.0645823,0.975,145,0.8485427,14600.0,0.11587725
0.20414592,2940.0,0.5249999999999999,0.1063767,-1.1228122,0.95,146,0.8485878,14700.0,0.11586397
0.20415138,2960.0,0.5800000000000001,0.10637957,-1.0589012,0.9,147,0.84860355,14800.0,0.11582717
0.20416862,2980.0,0.5800000000000001,0.10638809,-1.4526165,0.975,148,0.84862775,14900.0,0.11582677
0.20419161,3000.0,0.565,0.10638613,-2.0385766,0.975,149,0.8486814,15000.0,0.11578723
0.20420454,3020.0,0.595,0.10641611,-1.6325765,0.95,150,0.8487434,15100.0,0.11576921
0.20420183,3040.0,0.565,0.1064279,-1.0495231,0.925,151,0.8487764,15200.0,0.11575035
0.20420477,3060.0,0.575,0.106431045,-1.1735879,0.95,152,0.84882146,15300.0,0.115742385
0.20421019,3080.0,0.545,0.10642388,-0.9654262,1.0,153,0.84881544,15400.0,0.115702756
0.20423228,3100.0,0.51,0.106479205,-1.1511858,0.95,154,0.8488588,15500.0,0.11576808
0.20424418,3120.0,0.525,0.10650151,-1.1302674,1.0,155,0.8488855,15600.0,0.11574873
0.20425108,3140.0,0.535,0.10650017,-0.9493423,0.95,156,0.8489163,15700.0,0.115729645
0.20425272,3160.0,0.585,0.10645626,-1.104455,0.975,157,0.8489456,15800.0,0.115710095
0.20426619,3180.0,0.53,0.106451444,-1.1612365,0.925,158,0.848994,15900.0,0.11564829
0.2042797,3200.0,0.585,0.106444925,-1.321168,0.975,159,0.84901804,16000.0,0.11564198
0.20430985,3220.0,0.525,0.106404655,-1.2891188,0.925,160,0.8490799,16100.0,0.11559341
0.20431642,3240.0,0.5349999999999999,0.10641435,-1.2003162,0.95,161,0.8491137,16200.0,0.11558598
0.20434193,3260.0,0.57,0.106431305,-1.3957462,1.0,162,0.84913963,16300.0,0.115579434
0.20436344,3280.0,0.585,0.10638782,-1.0110343,0.95,163,0.84914404,16400.0,0.11553134
0.20438124,3300.0,0.485,0.10637633,-1.0337526,0.925,164,0.8491786,16500.0,0.115497805
0.20439053,3320.0,0.565,0.106371425,-1.3925745,0.925,165,0.8491981,16600.0,0.11543778
0.20439221,3340.0,0.52,0.10635364,-0.9980299,0.8999999999999999,166,0.8492225,16700.0,0.11537743
0.20442036,3360.0,0.495,0.10636469,-1.7827942,0.85,167,0.849246,16800.0,0.11537734
0.20443645,3380.0,0.515,0.10634911,-1.0491482,0.95,168,0.84926194,16900.0,0.11538685
0.20443764,3400.0,0.52,0.10629556,-1.220915,0.975,169,0.8492891,17000.0,0.11537459
0.20447226,3420.0,0.525,0.10630552,-1.0428361,0.875,170,0.84932494,17100.0,0.11533427
0.2044829,3440.0,0.5449999999999999,0.10626129,-1.3244929,0.975,171,0.8493242,17200.0,0.11531888
0.20450938,3460.0,0.535,0.106300004,-1.0807374,0.95,172,0.8493745,17300.0,0.11528507
0.20452656,3480.0,0.515,0.10626587,-1.0102742,0.975,173,0.8494277,17400.0,0.115248926
0.2045302,3500.0,0.565,0.10626029,-1.0647621,0.925,174,0.8494491,17500.0,0.115218095
0.20455413,3520.0,0.55,0.10629735,-1.228003,0.975,175,0.8494849,17600.0,0.11525546
0.20457546,3540.0,0.5549999999999999,0.106275685,-1.0747991,1.0,176,0.8495427,17700.0,0.11523628
0.20458037,3560.0,0.515,0.1063079,-0.9698768,0.975,177,0.8495837,17800.0,0.11522234
0.20458223,3580.0,0.565,0.106284685,-0.9849289,0.925,178,0.8496086,17900.0,0.11522601
0.20459658,3600.0,0.535,0.10626644,-0.9806233,0.975,179,0.8496256,18000.0,0.115201466
0.20460434,3620.0,0.62,0.106227495,-1.1445861,0.95,180,0.84963745,18100.0,0.115182914
0.20462665,3640.0,0.575,0.10622739,-1.7804959,0.925,181,0.84965444,18200.0,0.11516492
0.20463726,3660.0,0.535,0.1061903,-1.1098756,0.975,182,0.8496962,18300.0,0.11511097
0.20464659,3680.0,0.535,0.106195934,-0.9439782,0.925,183,0.849719,18400.0,0.11510858
0.20467015,3700.0,0.57,0.10620427,-1.1862578,0.925,184,0.8497475,18500.0,0.11511302
0.2046747,3720.0,0.5549999999999999,0.10621029,-0.9575701,0.95,185,0.8498129,18600.0,0.115120165
0.20467281,3740.0,0.525,0.106169604,-1.3150111,0.925,186,0.8498401,18700.0,0.11508116
0.20468187,3760.0,0.485,0.10621338,-1.2550564,0.975,187,0.84990543,18800.0,0.11507292
0.2046874,3780.0,0.55,0.106178045,-1.39918,0.925,188,0.8499403,18900.0,0.115060806
0.20469517,3800.0,0.535,0.10618218,-1.2718282,0.975,189,0.84998494,19000.0,0.11504404
0.2047027,3820.0,0.6,0.10615123,-1.1152087,1.0,190,0.8499892,19100.0,0.11500608
0.20469898,3840.0,0.525,0.1061425,-1.1511166,0.95,191,0.8500033,19200.0,0.11498558
0.20472051,3860.0,0.5549999999999999,0.10616025,-1.2185119,0.975,192,0.85001594,19300.0,0.115001544
0.20472866,3880.0,0.5549999999999999,0.106159635,-1.0112872,0.875,193,0.85006756,19400.0,0.11497129
0.20474611,3900.0,0.525,0.10613769,-1.3002813,0.925,194,0.85011595,19500.0,0.11493952
0.20477185,3920.0,0.52,0.10616135,-0.8878139,0.925,195,0.85016245,19600.0,0.11495011
0.2047932,3940.0,0.565,0.106155306,-0.9881809,0.9,196,0.85020447,19700.0,0.11492538
0.2047968,3960.0,0.535,0.10618196,-1.2599111,0.9,197,0.8502347,19800.0,0.114916325
0.20481014,3980.0,0.5700000000000001,0.10616379,-1.2489203,1.0,198,0.85024834,19900.0,0.11490225
0.20481826,4000.0,0.59,0.106098175,-0.94328266,1.0,199,0.8502581,20000.0,0.11488052
