epoch,stats_o/std,stats_o/mean,test/episode,stats_g/std,test/success_rate,train/success_rate,stats_g/mean,test/mean_Q,train/episode
64,0.07989051,0.17344786,1300.0,0.15875798,0.05,0.025,0.75410676,-18.894985,1300.0
65,0.08018058,0.17350093,1320.0,0.15962353,0.125,0.1,0.754401,-18.401508,1320.0
66,0.08039141,0.17374432,1340.0,0.16029455,0.05,0.05,0.7551511,-16.790722,1340.0
67,0.08055391,0.17383991,1360.0,0.16101643,0.125,0.0,0.7551556,-19.855991,1360.0
68,0.0810432,0.17396669,1380.0,0.16211168,0.0,0.07500000000000001,0.7553951,-19.606268,1380.0
69,0.08132648,0.17401604,1400.0,0.16255933,0.15000000000000002,0.025,0.7556348,-19.170052,1400.0
70,0.08239228,0.17410855,1420.0,0.1636128,0.05,0.025,0.7555271,-18.722878,1420.0
71,0.08283515,0.17415532,1440.0,0.1648279,0.025,0.0,0.7556188,-18.984032,1440.0
72,0.08304858,0.1741784,1460.0,0.16575481,0.15,0.025,0.75552267,-18.69931,1460.0
73,0.08452459,0.17435203,1480.0,0.1667444,0.025,0.0,0.75616527,-18.552881,1480.0
74,0.084900714,0.17446186,1500.0,0.16706358,0.15,0.025,0.7566237,-19.648558,1500.0
75,0.08519574,0.17452909,1520.0,0.1675973,0.25,0.05,0.75710493,-19.232838,1520.0
76,0.085765235,0.17455038,1540.0,0.16884203,0.25,0.1,0.7571482,-18.142567,1540.0
77,0.08604934,0.17453744,1560.0,0.16960567,0.05,0.1,0.7575042,-20.331264,1560.0
78,0.086473264,0.17460138,1580.0,0.17039894,0.07500000000000001,0.05,0.7578102,-19.529875,1580.0
79,0.08681138,0.17467512,1600.0,0.17136495,0.07500000000000001,0.05,0.7582056,-18.24549,1600.0
80,0.087062426,0.17476776,1620.0,0.17199749,0.1,0.07500000000000001,0.758365,-18.160927,1620.0
81,0.08740749,0.17485264,1640.0,0.17301615,0.07500000000000001,0.075,0.75889,-19.61942,1640.0
82,0.088177405,0.1749753,1660.0,0.17393337,0.07500000000000001,0.05,0.75921243,-19.72934,1660.0
83,0.088664114,0.1751452,1680.0,0.17448159,0.07500000000000001,0.125,0.7598879,-15.697336,1680.0
84,0.08905183,0.17511798,1700.0,0.1754678,0.025,0.125,0.7599514,-18.91473,1700.0
85,0.08955699,0.17520505,1720.0,0.17618573,0.15,0.05,0.7602547,-18.887989,1720.0
86,0.089760214,0.17523718,1740.0,0.17675094,0.15000000000000002,0.025,0.76033115,-17.275055,1740.0
87,0.09013629,0.17533502,1760.0,0.17777365,0.2,0.075,0.76098317,-17.403059,1760.0
88,0.09044068,0.17546117,1780.0,0.17881934,0.1,0.07500000000000001,0.7614147,-16.219967,1780.0
89,0.09084065,0.17554136,1800.0,0.17958677,0.1,0.07500000000000001,0.76183486,-15.395586,1800.0
90,0.09158206,0.17560226,1820.0,0.18046968,0.075,0.1,0.76204795,-17.681232,1820.0
91,0.09181541,0.17574602,1840.0,0.18105257,0.07500000000000001,0.025,0.7628748,-17.557,1840.0
92,0.09202558,0.17590988,1860.0,0.18115233,0.07500000000000001,0.025,0.7636981,-16.983055,1860.0
93,0.09219569,0.17599915,1880.0,0.18167771,0.07500000000000001,0.025,0.7642532,-16.50287,1880.0
94,0.09288999,0.1760312,1900.0,0.18234444,0.1,0.07500000000000001,0.7646935,-15.909952,1900.0
95,0.09310686,0.17614084,1920.0,0.182862,0.1,0.075,0.76514506,-15.4492035,1920.0
96,0.093415864,0.1761843,1940.0,0.18294986,0.07500000000000001,0.05,0.765502,-15.427636,1940.0
97,0.0935645,0.17631401,1960.0,0.18312521,0.175,0.1,0.76625854,-15.621245,1960.0
98,0.09380372,0.17639019,1980.0,0.18314743,0.1,0.075,0.7667294,-16.32383,1980.0
99,0.0939359,0.17646012,2000.0,0.18337704,0.07500000000000001,0.025,0.7670877,-15.941696,2000.0
